0,50,83,58,79,108,75,82,54
1,55,92,120,84,63,61,88,53
2,61,64,73,66,92,78,67,57
3,65,117,116,84,48,81,91,71
4,65,128,116,54,76,81,88,59
5,61,86,66,54,114,78,64,64
6,59,86,120,83,85,75,93,63
7,56,86,116,70,72,83,80,64
8,23,82,74,68,98,64,62,52
0,87,93,62,58,59,61,55,65
1,50,66,51,62,57,95,56,75
2,100,70,87,68,70,61,92,78
3,79,64,100,54,73,73,91,99
4,105,80,82,72,63,91,59,57
5,72,107,51,50,67,58,74,63
6,101,97,92,107,58,80,57,53
7,56,71,99,107,53,54,74,99
8,93,62,76,102,66,95,101,91
0,68,65,50,54,75,97,84,73
1,57,76,75,90,72,59,53,89
2,73,86,77,87,107,69,88,58
3,82,84,60,73,65,97,73,75
4,57,101,78,60,96,82,74,73
5,105,51,99,63,53,50,106,63
6,56,102,71,56,52,62,77,71
7,61,57,63,58,61,62,93,70
8,80,86,89,57,95,54,107,98
0,68,82,63,60,73,67,57,107
1,74,60,78,70,82,62,51,80
2,91,74,68,101,83,52,94,78
3,89,84,60,104,82,91,68,72
4,56,52,57,89,98,104,65,55
5,67,92,70,104,98,72,87,63
6,99,100,83,103,70,60,82,105
7,106,75,71,89,82,107,69,75
8,99,64,63,70,102,93,56,63
0,106,109,65,74,109,59,52,57
1,103,55,86,87,106,71,90,63
2,77,99,99,97,63,90,64,95
3,73,66,78,92,95,53,102,52
4,64,96,50,79,61,85,103,79
5,83,52,70,69,98,104,82,78
6,105,68,81,78,80,60,58,95
7,85,82,58,70,63,100,65,91
8,50,94,69,74,99,92,70,94
0,65,80,77,64,101,69,109,76
1,93,72,57,85,103,97,96,101
2,84,86,86,82,69,53,74,69
3,87,80,88,97,89,55,65,99
4,73,82,92,60,52,74,84,80
5,67,54,50,102,64,67,89,85
6,67,78,72,88,91,60,63,56
7,75,88,98,98,100,94,91,104
8,50,72,105,66,69,59,98,78
0,101,97,60,109,54,73,64,71
1,96,53,106,74,66,96,104,65
2,57,64,63,65,75,103,70,107
3,108,71,100,96,79,94,87,72
4,77,104,62,62,106,109,76,62
5,57,73,89,93,62,100,88,77
6,98,55,84,83,93,76,106,55
7,59,102,75,77,93,51,68,80
8,82,76,70,80,89,50,72,84
0,102,53,56,62,89,88,69,97
1,98,56,63,86,73,72,52,108
2,78,107,92,81,103,59,91,107
3,74,95,104,79,102,62,68,92
4,61,91,86,98,66,80,101,92
5,70,107,85,91,67,52,71,79
6,86,95,96,66,77,58,78,52
7,85,63,91,107,86,86,90,68
8,83,88,101,96,90,75,89,98
0,87,52,84,78,64,61,108,92
1,76,90,71,108,66,78,87,91
2,95,90,92,61,72,56,82,64
3,86,73,61,85,109,82,96,77
4,99,88,108,50,72,83,56,86
5,68,77,78,87,102,88,100,80
6,107,100,96,57,71,66,89,79
7,61,109,108,64,90,80,58,90
8,98,80,73,52,78,50,89,62
0,67,108,83,60,78,91,61,55
1,67,55,107,92,72,102,107,106
2,64,73,108,103,67,60,58,98
3,103,69,62,75,63,66,54,74
4,104,77,100,54,53,108,62,52
5,62,82,82,65,86,108,60,62
6,68,80,109,55,66,81,82,93
7,94,81,93,85,94,74,65,71
8,69,63,83,54,89,53,84,84
0,92,64,68,88,88,108,98,108
1,67,55,108,88,77,103,58,90
2,55,55,57,64,87,91,64,83
3,77,101,63,80,93,96,59,53
4,53,53,104,83,85,66,78,87
5,50,87,79,68,64,89,56,78
6,102,60,82,96,109,79,68,86
7,79,106,89,78,104,79,105,89
8,76,77,92,62,67,57,77,57
0,69,106,101,82,62,88,101,82
1,80,72,55,77,81,91,72,62
2,102,95,72,88,68,79,79,68
3,102,108,81,99,84,69,107,79
4,95,93,101,72,65,57,98,78
5,69,77,93,69,65,56,74,108
6,72,61,87,51,79,65,101,84
7,72,95,101,92,72,95,89,68
8,90,94,66,67,93,74,88,50
0,98,83,68,105,57,102,64,86
1,76,82,51,98,74,103,72,84
2,80,71,54,53,98,104,68,83
3,61,61,107,102,62,54,95,50
4,75,90,57,57,104,83,108,57
5,84,54,55,104,89,100,62,95
6,82,71,100,78,57,78,97,75
7,91,105,83,51,63,102,88,71
8,77,88,70,83,51,81,103,99
0,100,88,78,61,100,85,81,101
1,52,53,82,60,82,83,55,50
2,87,96,58,93,94,74,66,82
3,82,91,74,71,107,77,96,85
4,54,82,107,95,74,88,101,92
5,107,75,82,90,83,104,56,51
6,101,81,57,109,63,53,78,65
7,79,52,97,69,82,108,68,90
8,108,84,80,107,82,99,96,69
0,91,70,106,90,106,96,100,106
1,104,54,59,50,76,71,109,60
2,71,104,83,105,88,87,93,89
3,83,81,91,57,55,56,73,72
4,92,89,81,87,88,106,73,78
5,86,52,60,70,50,66,80,53
6,64,94,109,103,107,98,101,104
7,55,99,60,93,96,77,83,58
8,54,89,82,97,83,57,83,64
0,63,93,71,86,62,108,103,104
1,76,68,87,108,85,62,91,85
2,75,87,51,94,91,93,105,105
3,50,65,78,90,56,99,100,82
4,76,70,102,88,51,66,107,102
5,75,69,80,50,92,97,71,83
6,51,75,88,108,62,98,68,63
7,63,74,94,76,69,89,84,65
8,87,88,82,86,84,101,96,51
0,82,80,87,57,98,100,100,108
1,82,93,91,55,51,83,104,101
2,80,68,99,67,68,81,57,71
3,68,96,94,77,59,54,63,73
4,81,101,109,87,50,68,81,51
5,70,64,91,54,104,75,69,77
6,108,106,78,58,105,95,62,96
7,99,61,58,60,73,74,75,68
8,68,55,97,92,96,71,101,103
0,59,92,63,68,73,95,81,102
1,83,104,64,107,97,90,99,58
2,51,72,52,72,51,58,101,57
3,98,73,63,98,50,92,89,53
4,107,93,103,93,60,84,103,83
5,61,109,52,60,77,55,76,53
6,81,61,53,104,51,63,109,106
7,67,58,88,54,56,62,59,55
8,65,70,109,81,76,57,93,52
0,82,96,61,68,94,50,87,97
1,59,76,70,65,51,102,55,52
2,75,78,69,93,67,55,95,65
3,60,79,67,67,96,57,67,100
4,72,50,57,79,105,78,102,85
5,93,84,105,90,55,100,78,102
6,91,84,84,69,63,87,75,104
7,54,93,61,79,62,75,82,100
8,90,101,92,73,101,75,93,100
0,101,90,74,81,78,50,100,72
1,108,74,101,72,60,93,81,102
2,59,89,56,80,53,68,62,59
3,60,77,51,71,103,92,56,59
4,86,104,73,109,58,103,73,68
5,92,71,53,64,70,93,71,59
6,92,52,70,93,66,108,63,92
7,85,61,78,92,71,84,94,92
8,104,78,68,58,80,50,63,68
0,88,102,61,106,102,69,62,54
1,95,75,90,85,55,81,109,79
2,52,109,82,57,107,79,58,77
3,83,79,54,88,83,104,59,53
4,64,70,85,105,101,78,95,78
5,106,108,101,54,65,61,81,86
6,62,102,108,88,69,66,97,86
7,60,56,76,86,107,80,85,50
8,88,68,81,91,100,81,107,98
0,92,99,100,102,72,50,56,95
1,82,77,50,76,100,104,70,108
2,76,51,87,63,90,68,68,88
3,109,103,99,100,105,88,73,54
4,55,73,52,69,105,86,67,71
5,63,92,106,101,76,99,82,58
6,58,70,96,54,68,104,106,71
7,89,79,105,60,75,73,80,76
8,63,61,92,60,74,74,97,107
0,54,93,77,107,63,56,52,53
1,79,92,54,78,85,87,68,88
2,63,96,64,91,56,77,66,70
3,73,85,57,56,71,50,100,76
4,59,91,78,53,100,71,97,83
5,57,107,58,89,101,83,89,85
6,57,109,91,77,101,90,108,57
7,86,95,80,59,97,74,96,107
8,108,71,104,50,69,69,71,77
0,72,55,100,73,69,80,102,54
1,57,102,96,101,84,52,50,77
2,86,90,81,105,50,93,93,87
3,76,50,54,56,74,73,77,96
4,80,91,102,54,75,79,93,100
5,53,100,109,52,84,71,93,106
6,68,62,74,87,55,50,108,50
7,50,63,71,87,84,64,95,67
8,76,75,72,108,98,70,100,58
0,98,60,73,82,90,51,62,90
1,70,71,71,96,81,76,84,96
2,96,96,106,108,100,99,76,68
3,55,64,87,65,98,86,106,69
4,64,93,75,53,67,69,104,87
5,50,107,66,53,103,66,103,63
6,95,74,108,50,69,57,103,54
7,92,54,57,69,55,65,94,83
8,103,82,73,56,52,90,55,71
0,53,61,65,53,56,97,61,96
1,66,54,69,105,90,87,100,103
2,99,108,55,65,94,72,108,60
3,94,60,56,82,90,100,58,52
4,81,58,107,74,80,83,97,80
5,102,77,61,86,56,79,99,85
6,102,105,56,90,57,104,61,76
7,105,81,68,96,81,104,63,62
8,56,81,76,64,107,63,69,73
0,70,51,76,70,104,52,69,73
1,87,66,105,85,57,66,54,102
2,65,93,65,68,70,97,70,85
3,104,108,59,82,105,109,74,95
4,57,75,59,60,86,89,107,70
5,68,61,78,84,90,71,69,55
